type,id,lat,lon,brand,shop,city,street,housenumber,postcode
node,7714224518,47.2466758,7.9578727,Migros-Outlet,supermarket,Mehlsecken,Zelglimatte,3,6260
node,7714353009,47.0779366,8.2751915,Migros-Outlet,supermarket,Emmenbrücke,Sonnenplatz,2,6020
node,7743378096,47.0952776,8.3630382,Migros,supermarket,Dierikon,Industriestrasse,1,6036
node,7744517904,47.347822,8.1612756,Migros,supermarket,Seon,Unterdorfstrasse,21,5703
node,7744520184,47.3600635,8.0980307,Migros,supermarket,Gränichen,Lindenplatz,2,5722
node,7744624818,47.2649349,7.8292999,Migros,supermarket,Murgenthal,Fahrackerstrasse,1,4853
node,7746213154,46.6917157,6.7031558,Landi,supermarket,Bercher,Place de la Gare,10,1038
node,7746495807,47.1906226,7.4055985,Migros-Outlet,supermarket,Grenchen,Maienstrasse,6,2540
node,7746749386,47.3288607,7.8318357,Migros-Outlet,supermarket,Hägendorf,Industriestrasse West,40,4614
node,7784132951,46.2985567,7.054371,Coop,supermarket,Villars-sur-Ollon,Avenue Centrale,118,1884
node,7794436351,47.4773077,8.3082745,Lidl,supermarket,Baden,Bahnhofstrasse,31,5400
node,7804887261,47.2274892,8.6699861,Volg,supermarket,Wädenswil,Schönenbergstrasse,26,8820
node,7958135920,46.6788734,8.7709491,Coop,supermarket,Sedrun,Via Alpsu,70,7188
node,7958147083,46.680398,8.7752879,Denner,supermarket,Sedrun,Via Alpsu,61,7188
node,7981030482,47.3818153,8.4238011,Spar,supermarket,Urdorf,Bachstrasse,11,8902
node,7992012138,47.3064857,7.8864997,ALDI,supermarket,Rothrist,Neue Aarburgerstrasse,22,4852
node,8098492384,47.561065,7.5913921,Coop,supermarket,Basel,Greifengasse,3,4058
node,8098492385,47.5769624,7.5911385,Coop,supermarket,Basel,Inselstrasse,76,4057
node,8121967617,47.4387752,8.5724162,Aldi,supermarket,Glattbrugg,Schaffhauserstrasse,134,8152
node,8124703596,47.4919602,7.6101375,Denner,supermarket,Arlesheim,Bahnhofstrasse,1,4144
node,8126719712,46.2794139,6.1652207,ALDI,supermarket,Versoix,Route de Saint-Loup,2,1290
node,8143753521,47.562245,7.5923242,Aldi,supermarket,Basel,Webergasse,34,4058
node,8151376039,46.7457502,7.6435361,Coop,supermarket,Hünibach,Zedtwitzweg,1,3626
node,8171358619,47.037959,8.3041762,Denner,supermarket,Luzern,Moosmattstrasse,50,6005
node,8173744153,46.9263353,7.5637937,Aldi,supermarket,Worb,Bernstrasse,46,3076
node,8184391097,47.4254947,9.0858919,Volg,supermarket,Jonschwil,Unterdorfstrasse,6,9243
node,8242638301,46.7661981,7.0645597,Migros,supermarket,Neyruz FR,Place de la Gare,10,1740
node,8261369903,47.540963,8.7880083,Volg,supermarket,Rickenbach Sulz,Stationsstrasse,32,8545
node,8269133018,47.4213646,8.4096678,Coop,supermarket,Geroldswil,Huebwiesenstrasse,25,8954
node,8269204325,47.0336116,8.4266,Coop,supermarket,Weggis,Luzernerstrasse,38,6353
node,8278444660,46.5300438,6.5725166999999995,Migros,supermarket,Chavannes-près-Renens,Avenue de la Gare,84,1022
node,8286494178,47.3968758,8.5970455,Migros,supermarket,Dübendorf,Am Stadtrand,5,8600
node,8293804518,46.9581673,7.5136675,Coop,supermarket,Stettlen,Bernstrasse,1,3066
node,8294634935,47.469582,7.877464,Spar,supermarket,Ormalingen,Konsumstrasse,87,4466
node,8302655352,47.4079984,9.630328,Denner,supermarket,Widnau,Bahnhofstrasse,7,9443
node,8402157978,46.7945731,7.1154886,Denner,supermarket,Villars-sur-Glâne,Rue des Cerisiers,2,1752
node,8437761803,46.5220971,6.6262057,Lidl,supermarket,Lausanne,Rue de Genève,33,1003
node,8448900291,47.2677573,8.2607243,Landi,supermarket,Schongau,Mettmenstrasse,5,6288
node,8461330192,47.2110372,7.5447388,Migros,supermarket,Solothurn,Baselstrasse,30,4500
node,8465280711,47.476973,8.3080976,ALDI,supermarket,Baden,Bahnhofstrasse,31,5400
node,8531787049,47.1973504,7.5837586,Migros,supermarket,Derendingen,Hauptstrasse,22,4552
node,8541239873,47.3874546,8.5173402,Coop,supermarket,Zürich,Maschinenstrasse,10,8005
node,8548450743,46.5541641,6.6348143,Coop,supermarket,Le Mont-sur-Lausanne,Route de Lausanne,33,1052
node,8568619768,47.3682397,8.379791,Lidl,supermarket,Rudolfstetten,Alte Bremgartenstrasse,10b,8964
node,8568717299,47.3975418,8.008607,Volg,supermarket,Erlinsbach (SO),Hauptstrasse,6,5015
node,8605079069,47.0399072,8.1801587,Landi,supermarket,Malters,Mettlenmatte,1,6102
node,8646641115,47.5253385,8.2453176,Denner,supermarket,Würenlingen,Wiesenstrasse,4,5303
node,8690397614,47.37739,9.5376422,Denner,supermarket,Altstätten SG,Stossstrasse,2,9450
node,8710511184,47.1710859,7.5740275,Migros,supermarket,Gerlafingen,Friedhofstrasse,1,4563
node,8730544990,47.4783308,8.2167786,Denner,supermarket,Windisch,Dohlenzelgstrasse,2a,5210
